case_id,original_shape_MeshVolume,original_shape_Sphericity,original_shape_SurfaceVolumeRatio,original_firstorder_10Percentile,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_TotalEnergy,original_glcm_JointEntropy,original_gldm_DependenceNonUniformity,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_ngtdm_Coarseness
Case100,-0.4483980694287368,-1.0962024791286304,0.7756990170615358,-1.1391308683375638,-1.0007934640955756,-0.9185835071473399,-0.4332257601408956,-0.9043502453776179,-0.6631220115131745,-0.888115887038976,0.9542638939706577,-0.5421287167933198,1.4781171992174724,-0.6057051906519911,0.3370653101888632
Case101,-0.5677255386681651,0.07094941181005254,0.3233642604602789,0.18809147780557836,-1.0028384114546514,-0.22658044584901194,-0.24333997191069398,0.21720101423410787,-0.24056938380844933,-0.24178836716338747,-0.48170100433514895,-0.11399772445207165,-0.6405188147925023,0.09237254694381476,-0.2999190252336173
Case102,1.0830121338016583,-0.09138753376358101,-1.039143370600789,0.535272211101617,1.9839833407040566,-0.29908811955122644,0.15662392782167361,-0.844414648298063,0.16168626412356285,0.4670271880828833,-0.3006887421951724,-0.18648312197163655,-0.4218550162017277,-0.4151050257116432,-0.9562662924523021
Case103,-0.3238373769586539,-0.3357071592482785,0.16631071816921233,-0.5657866859229628,-0.7753651619076913,-0.605655652221993,-0.33079667402103485,-0.034522207353010904,-0.5903764478819195,-0.5142463823982795,0.12284184302597409,-0.33614155096158216,0.06552186229105944,-0.18558437077149736,0.615435408140766
Case108,-0.4869620817782997,0.3579915400427475,0.056892356440649786,-0.2219124358011721,-0.5948795422333959,-0.2227642524962638,-0.28599717427366045,0.3164277404414113,-0.3041074899630829,-0.5099737896583363,-0.4427794775451412,-0.15921556825815178,-0.22559835408614232,0.10518894047454702,0.09568311363878318
Case109,-0.8166739110866841,1.5863712447902005,0.0948563266639146,-0.4798181233925151,-1.0096265522582397,-0.286367475042066,-0.3403142329623691,-0.05733464752375543,-0.6329113846027113,-0.31722921229835976,0.3291883964136409,-0.11297788542684115,0.389240732205589,-0.10208641260966797,-0.28382940839461573
Case110,1.7789043866326963,-1.2773993729365356,-0.8545605054882415,2.43650003629421,1.2094830214236572,1.4500005004583343,2.1871086021609205,1.33031424065657,1.498124574747648,2.086513456711775,-0.6562052203376995,1.3409825940399378,-1.3325924385053927,0.9457485161227174,-1.0092540737819673
Case111,3.230457356580904,0.1748012857831278,-1.8073386359148103,1.496621336543835,1.4878486357311052,0.9295345229032486,1.9330558558179292,0.19594718129457198,1.1303393772670138,3.449816046949588,-0.510971544722293,0.5112217439519751,-1.108502913473201,1.2540935469325638,-1.19133353634299
Case112,-0.2005470260773512,1.1640632471744412,-0.6298930124950061,-0.24175133484666,-0.2947886462468054,-0.22912457475084402,-0.2626753238575491,-0.57959008667247,-0.5613251788578907,0.34476554514320434,0.03381703569699874,-0.3159969088571347,0.4047674025015848,-0.8059796081843905,0.17823253985769805
Case113,-0.6521608739097282,-0.16342166507956365,0.5979525768272189,-1.1179693760223768,-1.0670528169206106,-0.9643778273803175,-0.4487443755919532,-0.5363721026190035,-0.8084198946925472,-1.0448206003210665,1.5497563756377224,-0.5303433165364037,1.7568210538358284,-1.5051719185514871,1.3494687777866265
Case114,-0.09291616213785049,0.23001292802544251,-0.3641531377447525,-0.4517130164114072,0.38778050958811866,-0.5051625605996256,-0.2489036786909375,-0.8417313705453953,-0.7901583223400422,-0.5788773296836985,-0.29082534825966605,-0.27520335421482595,1.773838259444995,-0.808747919679687,1.59242587936217
Case115,-0.5578751459303597,-0.869276775652381,0.8261809115353695,-0.9890165322267052,-1.4571682859113624,-0.6196483611820696,-0.4014014761630251,0.28235451615192625,-0.5006791169453745,-0.9086259353805362,-0.08511176045865061,-0.43558966348721767,1.6214187059508223,-0.5763862599051709,0.14157474747022133
Case116,-0.2867500692454682,0.7608490255564381,-0.3794817379269601,0.5005541377720132,0.4084954571674725,0.049457539999769644,0.03554120575073867,0.5528289772566903,-0.08933694687220083,1.1122377974695932,-0.4071667981309389,0.44521176052793154,-1.229522600381246,0.6257004742215101,-0.7743745093480152
Case119,-0.44462546973948974,1.7901530150606777,-0.5845175719957554,-0.4130271632727056,-0.4482453307104722,-0.749398935175506,-0.36234713917091244,-0.9872687268680638,-0.7490548179602544,-0.19963894920025174,-0.04284768480155871,-0.38950191513999644,1.216656023910831,-0.6696769829045732,0.25908025865597484
Case121,-0.5890671739229283,-0.7410540534085769,0.806715754632355,-0.022862148711443084,-0.7268588609080657,0.4870477111148888,-0.068150221449248,0.8297102742549212,-0.434173234319281,-0.043944889240116566,-0.49692378101514484,0.35361704758719836,0.3509576356178666,1.0422008638529996,0.637534996187578
